"","subcontinente","topic","value"
"557","Asia Oriental","Topic23",-0.0586733732913721
"558","Asia Oriental","Topic17",0.343994658706276
"559","Asia Oriental","Topic55",-0.70961773572397
"560","Asia Oriental","Topic62",0.0791131022839483
"561","Asia Oriental","Topic74",-0.450675716607884
"562","Asia Oriental","Topic32",-0.391138233461412
"563","Asia Oriental","Topic07",-0.335483663936022
"564","Asia Oriental","Topic92",0.851569765949074
"565","Asia Oriental","Topic73",0.320918886462779
"566","Asia Oriental","Topic19",-0.0260098694305114
"567","Asia Oriental","Topic41",0.163381665196656
"568","Asia Oriental","Topic06",-0.255622897358261
"569","Asia Oriental","Topic63",0.417068843152554
"570","Asia Oriental","Topic08",0.66672972901191
"571","Asia Oriental","Topic12",-0.00261609560095401
"572","Asia Oriental","Topic03",-0.299035302435909
"573","Asia Oriental","Topic52",0.176217092816963
"574","Asia Oriental","Topic43",-0.141393760841878
"575","Asia Oriental","Topic21",-0.98126719743531
"576","Asia Oriental","Topic96",-0.530395719460371
"577","Australia y Nueva Zelanda","Topic80",-0.266698042650056
"578","Australia y Nueva Zelanda","Topic38",-0.319932135361944
"579","Australia y Nueva Zelanda","Topic36",-0.197885778915442
"580","Australia y Nueva Zelanda","Topic18",1.07252848843489
"581","Australia y Nueva Zelanda","Topic87",0.425211971485557
"582","Australia y Nueva Zelanda","Topic04",0.283601364052881
"583","Australia y Nueva Zelanda","Topic37",-0.0323801422003262
"584","Australia y Nueva Zelanda","Topic16",0.751989373811243
"585","Australia y Nueva Zelanda","Topic99",0.449784338787913
"586","Australia y Nueva Zelanda","Topic60",0.387876848139125
